"Player","Team","Opponent","Position","DK Points","DKSalary","FD Points","FDSalary","DKSlateID","FDSlateID","Slate"
"Joshua Dobbs","CLE","WAS","QB","4.7","5500","4.5","6000","28890432","92651-40407","Main"
"Tony Jones Jr.","DEN","ARI","RB","4.7","5500","4.7","6000","28890527","92651-73121","Main"
"Chris Brooks","MIA","ATL","RB","4.7","5500","3.9","6000","28890587","92651-91488","Main"
"Darius Hagans","PIT","TB","RB","4.7","5500","3.9","6000","28890553","92651-185743","Main"
"Greg Bell","PIT","TB","RB","4.7","5500","3.9","6000","28890599","92651-91012","Main"
"Sean Tucker","TB","PIT","RB","4.7","5500","3.9","6000","28890577","92651-137059","Main"
"Godwin Igwebuike","ATL","MIA","RB","4.6","5500","3.9",,"28890567",,"Main"
"Jameson Williams","DET","NYG","WR","4.6","5500","3.7","6000","28890663","92651-111631","Main"
"David Sills V","NYG","DET","WR","4.5","5500","3.8","6000","28890837","92651-61555","Main"
"Mitch Trubisky","PIT","TB","QB","4.5","5500","4.2","6000","28890433","92651-38628","Main"
"Mason Rudolph","PIT","TB","QB","4.5","5500","4.3","6000","28890450","92651-53729","Main"
"Trevor Siemian","CIN","GB","QB","4.4","5500","4.2","6000","28890437","92651-28434","Main"
"Chris Evans","CIN","GB","RB","4.4","5500","4.5","6000","28890545","92651-73130","Main"
"Tanner Hudson","CIN","GB","TE","4.4","5500","3.7","6000","28891033","92651-83117","Main"
"Cedric Tillman","CLE","WAS","WR","4.4","5500","3.4","6000","28890699","92651-87432","Main"
"Anthony Schwartz","CLE","WAS","WR","4.4","5500","3.4","6000","28890819","92651-87662","Main"
"Jacoby Brissett","WAS","CLE","QB","4.4","5500","4.5","6000","28890434","92651-30231","Main"
"Clayton Tune","ARI","DEN","QB","4.3","5500","4.2","6000","28890448","92651-90813","Main"
"Collin Johnson","NYG","DET","WR","4.3","5500","3.0","6000","28890813","92651-69836","Main"
"Lil'Jordan Humphrey","DEN","ARI","WR","4.2","5500","4.0","6000","28890759","92651-71031","Main"
"Dylan Drummond","DET","NYG","WR","4.2","5500","3.4","6000","28890889","92651-86747","Main"
"Dorian Thompson-Robinson","CLE","WAS","QB","4.1","5500","3.9","6000","28890453","92651-91898","Main"
